"Classificação Contextual - MF (sem uso de máscara)",,,,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","159","101","0","4","0","5",,"269","0.591078066914498","0.408921933085502"
"Water","0","46","0","0","0","0",,"46","1","0"
"Dirt road","0","0","35","0","0","0",,"35","1","0"
"Forest","4","14","1","159","0","0",,"178","0.893258426966292","0.106741573033708"
"Clean Pasture","0","0","95","0","126","5",,"226","0.557522123893805","0.442477876106195"
"Dirty Pasture","0","2","32","0","37","153",,"224","0.683035714285714","0.316964285714286"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.975460122699387","0.282208588957055","0.214723926380368","0.975460122699387","0.773006134969325","0.938650306748466",,,,
"Erro Omissão (Exclusão)","0.024539877300613","0.717791411042945","0.785276073619632","0.024539877300613","0.226993865030675","0.0613496932515341",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.693251533742331",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.631901840490797",,,,,,,,,
