"Classificação Contextual - MF",,"Limiar MPAD: 140 x DP",,,,,,,,
,,,,,,,,,,
"Class/Refer","Secondary Vegetation","Water","Dirt road","Forest","Clean Pasture","Dirty Pasture",,"Total","Acur. Usuário","Erro Comissão (Inclusão)"
"Secondary Vegetation","155","0","0","9","0","9",,"173","0.895953757225434","0.104046242774566"
"Water","1","163","0","0","0","0",,"164","0.99390243902439","0.00609756097560998"
"Dirt road","0","0","89","0","0","0",,"89","1","0"
"Forest","7","0","0","154","0","0",,"161","0.956521739130435","0.043478260869565"
"Clean Pasture","0","0","72","0","114","6",,"192","0.59375","0.40625"
"Dirty Pasture","0","0","2","0","49","148",,"199","0.743718592964824","0.256281407035176"
,,,,,,,,,,
"Total","163","163","163","163","163","163",,"978",,
"Acur. Produtor","0.950920245398773","1","0.54601226993865","0.94478527607362","0.699386503067485","0.907975460122699",,,,
"Erro Omissão (Exclusão)","0.049079754601227","0","0.45398773006135","0.05521472392638","0.300613496932515","0.092024539877301",,,,
,,,,,,,,,,
"Exatidão Global (observada)","0.841513292433538",,,,,,,,,
,,,,,,,,,,
"Exatidão Global (se classif. fosse aleatória)","0.166666666666667",,,,,,,,,
"Kappa Global","0.809815950920245",,,,,,,,,
